ID,Drink,Order Datetime
1,4,2021-07-06 22:27:00
2,15,2021-08-21 22:33:00
3,10,2021-01-16 22:02:00
4,15,2021-09-11 21:36:00
5,14,2021-06-05 21:22:00
6,1,2021-06-12 23:23:00
7,6,2021-07-23 22:29:00
8,15,2021-07-17 21:28:00
9,4,2021-09-11 21:36:00
10,15,2021-09-20 21:38:00
11,11,2021-10-29 22:43:00
12,1,2021-06-26 20:25:00
13,7,2021-02-01 23:05:00
14,11,2021-11-12 23:45:00
15,11,2021-09-09 22:36:00
16,11,2022-01-02 22:52:00
17,11,2021-04-03 22:13:00
18,3,2021-11-15 23:46:00
19,15,2021-07-16 23:28:00
20,7,2021-01-29 22:04:00
21,2,2021-04-16 23:15:00
22,3,2021-03-05 20:09:00
23,15,2021-04-09 22:14:00
24,6,2021-05-21 22:20:00
25,15,2021-09-03 22:35:00
26,3,2021-11-29 23:48:00
27,12,2021-07-10 22:27:00
28,14,2021-11-28 21:47:00
29,13,2021-09-18 23:37:00
30,11,2021-03-28 22:12:00
31,4,2021-01-15 23:02:00
32,6,2021-05-13 22:19:00
33,14,2021-05-28 22:21:00
34,14,2021-03-27 20:12:00
35,14,2021-10-29 23:43:00
36,1,2021-09-15 23:37:00
37,1,2021-04-09 23:14:00
38,7,2021-04-05 22:14:00
39,1,2021-12-10 20:49:00
40,3,2021-06-26 22:25:00
41,15,2021-09-30 23:39:00
42,15,2021-07-30 21:30:00
43,6,2021-10-01 23:39:00
44,3,2021-05-15 23:19:00
45,13,2021-03-13 20:10:00
46,13,2021-09-10 23:36:00
47,4,2021-01-28 22:04:00
48,13,2021-08-06 21:31:00
49,7,2021-04-25 23:16:00
50,8,2021-02-14 20:06:00
51,11,2021-03-20 21:11:00
52,10,2021-03-20 21:11:00
53,14,2021-04-23 22:16:00
54,12,2021-02-08 21:06:00
55,12,2021-04-28 22:17:00
56,13,2021-01-22 23:03:00
57,3,2021-09-05 23:35:00
58,6,2021-07-23 21:29:00
59,14,2021-02-12 20:06:00
60,13,2021-12-25 20:51:00
61,13,2021-08-14 22:32:00
62,6,2021-02-17 22:07:00
63,6,2021-02-19 21:07:00
64,11,2021-01-22 22:03:00
65,13,2021-11-15 22:46:00
66,2,2021-10-23 23:42:00
67,6,2021-04-30 21:17:00
68,13,2021-12-02 21:48:00
69,11,2021-09-10 21:36:00
70,3,2021-04-27 22:17:00
71,7,2021-04-24 21:16:00
72,15,2021-04-20 22:16:00
73,12,2021-10-14 20:41:00
74,3,2021-06-11 20:23:00
75,6,2021-04-03 22:13:00
76,14,2021-05-15 22:19:00
77,3,2021-07-15 23:28:00
78,6,2021-11-18 21:46:00
79,13,2021-02-06 22:05:00
80,6,2021-06-25 22:25:00
81,13,2021-12-10 21:49:00
